Station,Latitude,Longitude,Observations,Avg_Depth,Min_Depth,Max_Depth,Depth_Std,Depth_Range,Avg_RollingStd4,Avg_RL_MSL,Depth_Trend_Slope,Depth_Score,Fluctuation_Combined,Trend_Score,RL_MSL_Score,Recharge_Score,Recharge_Category
Beguru_1,12.8769444,77.62527778,3528,-0.5383727324263038,-26.166,50.594,30.059189384991807,76.76,0.9465154805570821,891.0,0.01951397038211607,100.0,49.21611954857118,100.0,71.65354330708661,81.93019019528002,High Recharge Potential
Bagalagunte,13.06,77.51,4656,-3.2108125,-54.137,54.911,21.614383506009535,109.048,0.6938701972022802,888.0,0.005688804242212951,98.46704844806982,43.12371410497849,29.152469388938695,69.29133858267717,65.08356134677693,High Recharge Potential
Thimmenahalli,12.98,77.54,4555,-7.068890889132821,-38.206,79.026,26.2197868651355,117.232,3.0800689498331844,880.0,-0.00497177049406055,96.25399679173296,53.56639599332781,0.0,62.99212598425197,60.87073011311673,High Recharge Potential
Adakamaranahalli,13.07,77.45,4566,-9.839054752518617,-88.658,22.082,15.59686151314773,110.74000000000001,2.128826906245846,849.0,0.007282828418894872,94.66498923204767,36.92468399514421,37.32110009539294,38.582677165354326,60.26588862697635,High Recharge Potential
Sarjapura_1,12.86,77.79,4629,-26.52536314538777,-66.409,1.0,12.167899410217156,67.409,4.235821318910007,880.0,0.00497517530083642,85.09347235177846,27.13568054213323,25.495453787282617,62.99212598425197,53.57639645923308,High Recharge Potential
Avalahalli,13.04,77.74,3082,-75.00685853341986,-95.486,1.0,33.23712017550987,96.486,17.39598397275888,877.0,-0.011755193021132732,57.28375910894097,76.04723095098794,0.0,60.629921259842526,51.79066505485702,High Recharge Potential
Devarabeesanahalli_1,12.92338889,77.69177778,3386,-3.644486414648553,-43.081,1.0,5.355502927224308,44.081,2.8557856357945055,874.0,0.0017794490810413002,98.21828658314078,12.21707946070419,9.118846888648086,58.26771653543307,50.602979502740496,Medium Recharge Potential
Attibele_1,12.77878056,77.77267222,3091,-26.310435457780653,-93.604,1.0,10.751067993247393,94.604,2.8717251129240617,883.0,0.00027810615355859506,85.21675809848371,28.392202926844867,1.4251643725639271,65.35433070866141,49.424830062825876,Medium Recharge Potential
Jalahalli_2,13.05,77.54,3852,-19.719843457943924,-29.889,1.0,2.825757112260872,30.889,0.49840650126025915,917.0,0.0007695701231881493,88.99722056460728,3.745673839520452,3.9436880763816045,92.1259842519685,46.72392641817222,Medium Recharge Potential
Byadarahalli,12.99,77.5,4584,-31.43761889179756,-37.956,48.363,9.073841179299597,86.319,1.1022527012032968,876.0,0.00047513672025987477,82.27572874486695,22.616939734193867,2.4348541632271945,59.84251968503938,46.16659621935432,Medium Recharge Potential
Sadashivanagara,13.01,77.58,4357,-6.078176038558642,-9.223,12.457,2.2619255683719004,21.68,0.9805526538729139,886.0,-8.312056483933033e-05,96.8222856961773,1.9286710369078854,0.0,67.71653543307087,46.07916913285038,Medium Recharge Potential
Chandapura_1,12.8,77.71,4594,-19.581534828036567,-25.693,1.0,6.493274567601527,26.693,2.627098039155506,880.0,-0.001976114662303006,89.07655647010994,10.451788796817,0.0,62.99212598425197,45.065371825514276,Medium Recharge Potential
Anekal_1,12.70777778,77.69583333,2979,-48.28455454850621,-63.474,1.0,5.422194994222166,64.47399999999999,1.781492647615647,927.0,0.0006261676239924232,72.61207365576969,14.63067654667703,3.2088171280934494,100.0,44.075795851929676,Low Recharge Potential
Thotagere,13.13611111,77.4444444,3044,-26.817665571616295,-39.762,1.0,5.372801436026358,40.762,0.14473582654436304,890.0,-0.0030180983185859617,84.92580329395464,8.516711281261623,0.0,70.86614173228347,43.61194887518869,Low Recharge Potential
Tavarekere_1,12.96,77.41,2950,-16.985353559322032,-23.85,1.0,3.8700172430614503,24.85,0.29013679703454465,850.0,0.001172455225850472,90.5657650027989,3.8632695117946168,6.008286386070308,39.37007874015748,42.52395200588776,Low Recharge Potential
Rajarajeshwari Nagara Pattanagere,12.92,77.52,4374,-16.023955875628715,-18.671,1.0,3.078362784945665,19.671,0.48280018900939964,823.0,-0.0008974781569281763,91.11723714040212,2.106993986603405,0.0,18.11023622047244,38.89001667418912,Low Recharge Potential
Marenahalli_1,12.97,77.36,3888,-16.52580195473251,-18.893,1.0,1.8134048415900506,19.893,0.26404258503674943,800.0,-5.497889519672962e-06,90.8293706989853,0.17716521160986995,0.0,0.0,36.384897843077084,Low Recharge Potential
K Narayanapura,13.06,77.64,3289,-174.87132958346,-190.106,1.0,38.69127619482415,191.106,5.925292190384285,900.0,-0.0002928093520692636,0.0,86.70160943120902,0.0,78.74015748031496,33.8844985773942,Low Recharge Potential
